USAF   ,WBAN  ,STATION NAME                  ,CTRY ,ST ,CALL  ,LAT     ,LON      ,ELEV(M)
007018 ,99999 ,WXPOD 7018                    ,     ,   ,      ,+00.000 ,+000.000 ,+7018.0
007026 ,99999 ,WXPOD 7026                    ,AF   ,   ,      ,+00.000 ,+000.000 ,+7026.0
007070 ,99999 ,WXPOD 7070                    ,AF   ,   ,      ,+00.000 ,+000.000 ,+7070.0
008260 ,99999 ,WXPOD8270                     ,     ,   ,      ,+00.000 ,+000.000 ,+0000.0
008268 ,99999 ,WXPOD8278                     ,AF   ,   ,      ,+32.950 ,+065.567 ,+1156.7
008307 ,99999 ,WXPOD 8318                    ,AF   ,   ,      ,+00.000 ,+000.000 ,+8318.0
008411 ,99999 ,XM20                          ,     ,   ,      ,        ,         ,       
008414 ,99999 ,XM18                          ,     ,   ,      ,        ,         ,       
008415 ,99999 ,XM21                          ,     ,   ,      ,        ,         ,       
008418 ,99999 ,XM24                          ,     ,   ,      ,        ,         ,       
010000 ,99999 ,BOGUS NORWAY                  ,NO   ,   ,ENRS  ,        ,         ,       
010010 ,99999 ,JAN MAYEN(NOR-NAVY)           ,NO   ,   ,ENJA  ,+70.933 ,-008.667 ,+0009.0
010013 ,99999 ,ROST                          ,NO   ,   ,      ,        ,         ,       
010014 ,99999 ,SORSTOKKEN                    ,NO   ,   ,ENSO  ,+59.792 ,+005.341 ,+0048.8
010015 ,99999 ,BRINGELAND                    ,NO   ,   ,      ,+61.383 ,+005.867 ,+0327.0
010016 ,99999 ,RORVIK/RYUM                   ,NO   ,   ,      ,+64.850 ,+011.233 ,+0014.0
010017 ,99999 ,FRIGG                         ,NO   ,   ,ENFR  ,+59.980 ,+002.250 ,+0048.0
010020 ,99999 ,VERLEGENHUKEN                 ,NO   ,   ,      ,+80.050 ,+016.250 ,+0008.0
010030 ,99999 ,HORNSUND                      ,NO   ,   ,      ,+77.000 ,+015.500 ,+0012.0
010040 ,99999 ,NY-ALESUND II                 ,NO   ,   ,ENAS  ,+78.917 ,+011.933 ,+0008.0
010050 ,99999 ,ISFJORD RADIO                 ,SV   ,   ,      ,+78.067 ,+013.633 ,+0009.0
010060 ,99999 ,EDGEOYA                       ,NO   ,   ,      ,+78.250 ,+022.817 ,+0014.0
010070 ,99999 ,NY-ALESUND                    ,SV   ,   ,      ,+78.917 ,+011.933 ,+0007.7
010071 ,99999 ,LONGYEARBYEN                  ,SV   ,   ,      ,+78.217 ,+015.583 ,+0037.0
010080 ,99999 ,LONGYEAR                      ,SV   ,   ,ENSB  ,+78.246 ,+015.466 ,+0026.8
010090 ,99999 ,KARL XII OYA                  ,SV   ,   ,      ,+80.650 ,+025.000 ,+0005.0
010100 ,99999 ,ANDOYA                        ,NO   ,   ,ENAN  ,+69.293 ,+016.144 ,+0013.1
010110 ,99999 ,KVITOYA                       ,SV   ,   ,      ,+80.067 ,+031.500 ,+0010.0
010120 ,99999 ,                              ,     ,   ,      ,        ,         ,       
010140 ,99999 ,SENJA-LAUKHELLA               ,NO   ,   ,      ,+69.233 ,+017.900 ,+0009.0
010150 ,99999 ,HEKKINGEN FYR                 ,NO   ,   ,      ,+69.600 ,+017.833 ,+0014.0
010160 ,99999 ,KONGSOYA                      ,NO   ,   ,      ,+78.933 ,+028.900 ,+0020.0
010170 ,99999 ,AKSELOYA                      ,SV   ,   ,      ,+77.683 ,+014.783 ,+0006.0
010171 ,99999 ,GIBOSTAD                      ,NO   ,   ,      ,+69.350 ,+018.083 ,+0012.0
010190 ,99999 ,SVARTTANGEN                   ,NO   ,   ,      ,+77.517 ,+020.817 ,+0020.0
010200 ,99999 ,SORKAPPOYA                    ,SV   ,   ,      ,+76.483 ,+016.550 ,+0010.0
010230 ,99999 ,BARDUFOSS                     ,NO   ,   ,ENDU  ,+69.056 ,+018.540 ,+0076.8
010231 ,99999 ,DRAUGEN                       ,NO   ,   ,ENDR  ,+64.350 ,+007.800 ,+0000.0
010240 ,99999 ,PYRAMIDEN                     ,NO   ,   ,      ,+78.650 ,+016.367 ,+0020.0
010250 ,99999 ,TROMSO                        ,NO   ,   ,ENTC  ,+69.683 ,+018.919 ,+0009.4
010260 ,99999 ,TROMSO                        ,NO   ,   ,      ,+69.650 ,+018.933 ,+0114.5
010270 ,99999 ,TROMSO-HOLT                   ,NO   ,   ,      ,+69.650 ,+018.900 ,+0020.0
010280 ,99999 ,BJORNOYA ISLAND               ,NO   ,   ,ENBJ  ,+74.517 ,+019.017 ,+0018.0
010300 ,99999 ,KISTEFJELL                    ,NO   ,   ,      ,+69.283 ,+018.133 ,+0982.0
010303 ,99999 ,TROMSO/SKATTURA               ,NO   ,   ,      ,+69.700 ,+019.017 ,+0014.0
010320 ,99999 ,OVERBYGD                      ,NO   ,   ,      ,+69.017 ,+019.283 ,+0078.0
010330 ,99999 ,TORSVAG FYR                   ,NO   ,   ,      ,+70.250 ,+019.500 ,+0024.0
010340 ,99999 ,FUGLOYKALVEN FYR              ,NO   ,   ,      ,+70.317 ,+020.150 ,+0038.0
010350 ,99999 ,LYNGEN GJERDVASSBU            ,NO   ,   ,      ,+69.567 ,+020.100 ,+0710.0
010360 ,99999 ,NORDNESFJELLET                ,NO   ,   ,      ,+69.567 ,+020.433 ,+0710.0
010361 ,99999 ,SKIBOTIN                      ,NO   ,   ,      ,+69.367 ,+020.267 ,+0005.0
010370 ,99999 ,SKIBOTN 2                     ,NO   ,   ,      ,+69.383 ,+020.283 ,+0020.0
010400 ,99999 ,SKJERVOY                      ,NO   ,   ,      ,+70.033 ,+020.983 ,+0015.0
010410 ,99999 ,NORDREISA-OYENG               ,NO   ,   ,      ,+69.733 ,+021.017 ,+0005.0
010420 ,99999 ,HASVIK-SLUSKFJELLET           ,NO   ,   ,      ,+70.600 ,+022.450 ,+0438.0
010430 ,99999 ,ROGNSUNDET                    ,NO   ,   ,      ,+70.417 ,+022.817 ,+0010.0
010431 ,99999 ,LOPPA                         ,NO   ,   ,      ,+70.333 ,+021.467 ,+0011.0
010435 ,99999 ,HASVIK                        ,NO   ,   ,      ,+70.483 ,+022.150 ,+0007.0
010440 ,99999 ,HASVIK                        ,NO   ,   ,ENHK  ,+70.487 ,+022.140 ,+0006.4
010450 ,99999 ,NORDSTRAUM I KVAENANGEN       ,NO   ,   ,      ,+69.833 ,+021.883 ,+0006.0
010455 ,99999 ,                              ,     ,   ,      ,        ,         ,       
010460 ,99999 ,SORKJOSEN                     ,NO   ,   ,ENSR  ,+69.787 ,+020.959 ,+0004.9
010470 ,99999 ,KAUTOKEINO II                 ,NO   ,   ,ENKA  ,+69.017 ,+023.067 ,+0307.0
010490 ,99999 ,ALTA                          ,NO   ,   ,ENAT  ,+69.976 ,+023.372 ,+0002.7
010510 ,99999 ,SUOLOVUOPMI                   ,NO   ,   ,      ,+69.583 ,+023.533 ,+0374.0
010520 ,99999 ,HAMMERFEST AP                 ,NO   ,   ,ENHF  ,+70.683 ,+023.683 ,+0081.0
010530 ,99999 ,HAMMERFEST RADIO              ,NO   ,   ,      ,+70.683 ,+023.683 ,+0070.0
010550 ,99999 ,FRUHOLMEN FYR                 ,NO   ,   ,      ,+71.100 ,+023.983 ,+0014.2
010570 ,99999 ,CUOVDDATMOHKKI                ,NO   ,   ,      ,+69.367 ,+024.433 ,+0286.0
010580 ,99999 ,SUOLOVUOPMI LULIT             ,NO   ,   ,      ,+69.567 ,+023.533 ,+0381.0
010590 ,99999 ,BANAK                         ,NO   ,   ,ENNA  ,+70.069 ,+024.973 ,+0007.6
010610 ,99999 ,BRENNELV                      ,NO   ,   ,      ,+70.067 ,+025.117 ,+0034.0
010617 ,99999 ,OSEBERG                       ,NO   ,   ,      ,        ,         ,       
010620 ,99999 ,HOPEN ISLAND                  ,NO   ,   ,ENHO  ,+76.500 ,+025.067 ,+0010.0
